Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Jurnal Ilmiah Peternakan Terpadu,2303-1956,2614-0497,500000,IDR
Jurnal Kajian Komunikasi,2303-2006,2477-5606,1500000,IDR
Jurnal Pengolahan Hasil Perikanan Indonesia,2303-2111,2354-886X,1500000,IDR
Jurnal Biologi Universitas Andalas,2303-2162,2655-9587,500000,IDR
Jurnal IUS,2303-3827,2477-815X,1500000,IDR
ECONOMICS,,2303-5013,100,EUR
Pure and Applied Biology,,2304-2478,200,USD
Photonics,,2304-6732,1600,CHF
Inorganics,,2304-6740,1400,CHF
Dentistry Journal,2304-6767,,1400,CHF
Publications,,2304-6775,1400,CHF
Foods,2304-8158,,2000,CHF
Khyber Medical University Journal,2305-2643,2305-2651,3000,PKR
Техніко-технологічні аспекти розвитку та випробування нової техніки і технологій для сільського господарства України,2305-5987,2617-3778,1000,UAH
Logistics,,2305-6290,1000,CHF
Toxics,,2305-6304,1600,CHF
Medicines,,2305-6320,1400,CHF
International Journal of Corrosion and Scale Inhibition,,2305-6894,250,USD
ChemEngineering,,2305-7084,1400,CHF
ACRN Journal of Finance and Risk Perspectives,,2305-7394,80,EUR
Vìsnik Nacìonalʹnogo Tehnìčnogo Unìversitetu Ukraïni Kiïvsʹkij Polìtehničnij Institut. Serìâ Mašinobuduvannâ,2305-9001,,100,UAH
"Zemleustrìj, Kadastr ì Monìtorìng Zemelʹ",2306-1677,2518-7325,350,UAH
Pitannâ Lìteraturoznavstva,2306-2908,,600,UAH
Українське Pелігієзнавство,2306-3548,2617-9792,40,USD
Соціологічні студії,2306-3971,2521-1056,1080,UAH
Zaporožskij Medicinskij Žurnal,2306-4145,2310-1210,1050,UAH
Вісник Черкаського державного технологічного університету,2306-4412,2708-6070,300,UAH
Збірник наукових праць Черкаського державного технологічного університету: Серія: Економічні науки,2306-4420,,500,UAH
Hydrology,,2306-5338,1600,CHF
Bioengineering,,2306-5354,1600,CHF
Економічний вісник університету,2306-546X,2414-3774,900,UAH
Порівняльно-педагогічні студії,2306-5532,2312-1904,50,EUR
Beverages,,2306-5710,1400,CHF
Data,,2306-5729,1400,CHF
Veterinary Sciences,,2306-7381,1600,CHF
Patologìâ,2306-8027,2310-1237,750,UAH
Aktualʹnì Pitannâ Farmacevtičnoï ì Medičnoï Nauki ta Praktiki,2306-8094,2409-2932,750,UAH
Sensors & Transducers,2306-8515,1726-5479,670,EUR
Medičnì Perspektivi,2307-0404,,800,UAH
International Journal of Endorsing Health Science Research,2307-3748,2310-3841,100,USD
Storìnki Istorìï,2307-5244,2411-0647,300,UAH
Naučno-Pedagogičeskoe Obozrenie,2307-6127,,8000,RUB
Asian Journal of Agriculture and Biology,,2307-8553,50,USD
Облік і фінанси,2307-9878,2518-1181,50,USD
Вестник музыкальной науки,2308-1031,,15000,RUB
GI_FORUM - Journal for Geographic Information Science,,2308-1708,500,EUR
Geriatrics,,2308-3417,1400,CHF
Journal of Cardiovascular Development and Disease,,2308-3425,1400,CHF
International Journal of English Language and Translation Studies,2308-5460,,100,USD
Physical Education of Students,,2308-7250,70,USD
"Pedagogics, Psychology, Medical-Biological Problems of Physical Training and Sports",,2308-7269,70,USD
African Population Studies,,2308-7854,250,USD
Журнал органічної та фармацевтичної хімії,2308-8303,2518-1548,850,UAH
Sinusitis,,2309-107X,1000,CHF
Музыкальное искусство и образование,2309-1428,,3000,RUB
Психолінгвістика,2309-1797,2415-3397,90,EUR
Репродуктивная эндокринология,2309-4117,2411-1295,10500,UAH
Journal of Orthopaedic Surgery,,2309-4990,1500,USD
Journal of Fungi,,2309-608X,1800,CHF
Сучасне мистецтво,2309-8813,2663-0362,60,USD
Педагогічний дискурс,2309-9127,2313-8769,1125,UAH
Вісник Уманського національного університету садівництва,2310-046X,2310-0478,500,UAH
"Vìsnik Dnìpropetrovsʹkogo Unìversitetu: Serìâ Bìologìâ, Ekologìâ",2310-0842,2312-301X,20,USD
Journal of Education and Educational Development,2310-0869,2313-3538,100,USD
Gels,,2310-2861,1400,CHF
"Vìsnik Dnìpropetrovsʹkogo Unìversitetu: Serìâ Bìologìâ, Medicina",2310-4155,2312-7295,100,USD
Advancements in Life Sciences,,2310-5380,250,USD
Critical Studies in Teaching and Learning,,2310-7103,3200,ZAR
Journal of Transport and Supply Chain Management,2310-8789,1995-5235,398,ZAR
Microbial Cell,,2311-2638,1190,EUR
Актуальні проблеми української лінгвістики: теорія і практика,2311-2697,2523-4870,50,EUR
Fluids,,2311-5521,1400,CHF
Non-Coding RNA,,2311-553X,1600,CHF
C,,2311-5629,1400,CHF
Fermentation,,2311-5637,1400,CHF
Sučasnì Informacìjnì Tehnologìï u Sferì Bezpeki ta Oboroni ,2311-7249,2410-7336,250,UAH
Horticulturae,,2311-7524,1400,CHF
Journal of Advanced Veterinary and Animal Research,,2311-7710,100,USD
مجلة الموصل للتمريض,2311-8784,2663-0311,100,USD
Southern African Journal of Infectious Diseases,2312-0053,2313-1810,13040,ZAR
ERJ Open Research,,2312-0541,750,EUR
Фармацевтичний часопис,2312-0967,2414-9926,1800,UAH
East European Journal of Psycholinguistics,2312-3265,2313-2116,100,EUR
Актуальні питання масової комунікації,2312-5160,2786-4502,25,USD
Освітологічний дискурс,2312-5829,,200,UAH
Magnetochemistry,,2312-7481,1600,CHF
Vìsnik Dnìpropetrovsʹkogo Unìversitetu: Serìâ Matematika,2312-9557,2518-7996,100,UAH
Batteries,,2313-0105,1400,CHF
Russian Linguistic Bulletin,2313-0288,2411-2968,300,RUB
Iraqi Journal for Computers and Informatics,2313-190X,2520-4912,40000,IQD
Людинознавчі студії: Серія Педагогіка,2313-2094,2413-2039,1000,UAH
International Journal of Advanced and Applied Sciences,,2313-3724,435,EUR
Recycling,,2313-4321,1400,CHF
Journal of Imaging,,2313-433X,1600,CHF
Safety,,2313-576X,1600,CHF
Genealogy,,2313-5778,1000,CHF
ScienceRise,2313-6286,2313-8416,50,EUR
Biomimetics,,2313-7673,1400,CHF
Aktualʹnì Problemi Rozvitku Ekonomìki Regìonu,2313-8246,2518-7589,400,UAH
Problemy Postsovetskogo Prostranstva,2313-8920,2587-8174,19000,RUB
Psychiatry Journal,2314-4327,2314-4335,775,USD
International Journal of Genomics,2314-436X,2314-4378,1800,USD
Journal of Renewable Energy,2314-4386,2314-4394,775,USD
International Journal of Veterinary Science and Medicine,,2314-4599,250,USD
Journal of Mathematics,2314-4629,2314-4785,1800,USD
Journal of Engineering,2314-4904,2314-4912,1400,USD
Journal of Spectroscopy,2314-4920,2314-4939,1650,USD
Nuclear Sciences Scientific Journal,2314-5609,,120,USD
BioMed Research International,2314-6133,2314-6141,2400,USD
Journal of Diabetes Research,2314-6745,2314-6753,2300,USD
Journal of Immunology Research,2314-8861,2314-7156,2100,USD
Journal of Function Spaces,2314-8896,2314-8888,2100,USD
Egyptian Spine Journal,2314-8950,2314-8969,150,USD
Journal of Seed Science,2317-1537,2317-1545,360,BRL
Revista Brasileira de Agropecuária Sustentável,2317-5818,2236-9724,250,BRL
Nativa,,2318-7670,250,USD
Journal of Orthopaedics and Allied Sciences,2319-2585,2347-436X,250,USD
Journal of Research in Pharmacy Practice,2319-9644,2279-042X,250,USD
Indian Journal of Advances in Chemical Science,,2320-0928,1000,IDR
Journal of Oral and Maxillofacial Radiology,,2321-385X,75,USD
Heart India,2321-449X,2321-6638,600,USD
Sahel Medical Journal,,2321-6689,150,USD
Anusandhan Vigyan Shodh Patrika,2322-0708,2350-0123,50,INR
Journal of Medicinal Plants and By-products,2322-1399,2588-3739,215,USD
International Journal of Horticultural Science and Technology,2322-1461,2588-3143,1500000,IRR
Nursing and Midwifery Studies,2322-1488,2322-1674,150,USD
 فصلنامه مطالعات رفتار سازمانی,2322-1518,,5000000,IRR
فیزیولوژی ورزشی,2322-164X,2476-7050,2000000,IRR
مطالعات طب ورزشی,2322-1658,2538-1512,2000000,IRR
جغرافیا و مخاطرات محیطی,2322-1682,2383-3076,2000000,IRR
Journal of Arthropod-Borne Diseases ,2322-1984,2322-2271,6000000,IRR
International Journal of Community Based Nursing and Midwifery,2322-2476,2322-4835,5000000,IRR
Islām va ̒ulūm-i ijtimā̒ī,2322-2506,2588-4700,2500000,IRR
Reports of Biochemistry and Molecular Biology,,2322-3480,150,USD
Anatomical Sciences Journal,2322-3626,,85,USD
Issues in Language Teaching,2322-3715,2476-6194,1000000,IRR
Āsīb/shināsī-i Darmāngāhī-i Dāmpizishkī,2322-4746,2476-6984,3500000,IRR
Biological Journal of Microorganism,2322-5173,2322-5181,3500000,IRR
Hypoxia,,2324-1128,1780,USD
Chronic Wound Care Management and Research,,2324-481X,1780,USD
Journal of Investigative Medicine High Impact Case Reports,,2324-7096,750,USD
Molecular Genetics & Genomic Medicine,,2324-9269,2200,EUR
Elementa: Science of the Anthropocene,,2325-1026,1450,USD
Journal of the International Association of Providers of AIDS Care,2325-9574,2325-9582,1500,USD
Orthopaedic Journal of Sports Medicine,2325-9671,,1000,USD
Journal of the Arkansas Academy of Science,2326-0491,2326-0505,50,USD
Journal of Inborn Errors of Metabolism and Screening ,,2326-4594,400,USD
Open Review of Educational Research,,2326-5507,900,USD
Journal of Health Economics and Outcomes Research,,2327-2236,1500,USD
AIMS Public Health,,2327-8994,300,USD
HortScience,,2327-9834,3000,USD
International Journal of Advanced Studies,2328-1391,2227-930X,100,USD
Earth's Future,,2328-4277,1800,USD
Journal of Eastern European and Central Asian Research,2328-8272,2328-8280,50,USD
Health Systems & Reform,2328-8604,2328-8620,1500,USD
Open Forum Infectious Diseases,,2328-8957,3000,USD
Annals of Clinical and Translational Neurology,,2328-9503,2400,EUR
Child Neurology Open,,2329-048X,1500,USD
Molecular Therapy: Methods & Clinical Development,,2329-0501,3200,USD
Neurophotonics,2329-423X,2329-4248,1675,USD
Structural Dynamics,,2329-7778,2200,USD
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,,2329-9231,1350,USD
Journal of Responsible Innovation,2329-9460,2329-9037,1500,USD
Transactions of the American Mathematical Society. Series B,,2330-0000,2750,USD
"Proceedings of the American Mathematical Society, Series B",,2330-1511,750,USD
Statistics and Public Policy,,2330-443X,1500,USD
Sociological Science,,2330-6696,575,USD
Inflammation and Cell Signaling,,2330-7803,1280,USD
Cogent Mathematics,,2331-1835,1000,USD
Cogent Environmental Science,,2331-1843,1000,USD
Cogent Education,,2331-186X,1200,USD
Cogent Social Sciences,,2331-1886,1000,USD
Cogent Psychology,,2331-1908,1000,USD
Cogent Engineering,,2331-1916,1200,USD
Cogent Food & Agriculture,,2331-1932,1200,USD
Cogent Business & Management,,2331-1975,1200,USD
Cogent Arts & Humanities,,2331-1983,1000,USD
Cogent Medicine,,2331-205X,1000,USD
Trends in Hearing,,2331-2165,2000,USD
Cogent Economics & Finance,,2332-2039,1000,USD
Neurology: Neuroimmunology & Neuroinflammation,,2332-7812,3450,USD
AERA Open,,2332-8584,700,USD
Ecosystem Health and Sustainability,,2332-8878,1155,GBP
Bioelectronic Medicine,,2332-8886,1570,GBP
Health Services Research & Managerial Epidemiology,,2333-3928,1200,USD
Global Qualitative Nursing Research,,2333-3936,1000,USD
Journal of Health Education Teaching,,2333-4851,110,USD
Earth and Space Science,,2333-5084,1800,USD
International Biomechanics,,2333-5432,1000,USD
Gerontology and Geriatric Medicine,,2333-7214,1200,USD
Acta Biomaterialia Odontologica Scandinavica,,2333-7931,1150,EUR
Global Pediatric Health,,2333-794X,1500,USD
AIMS Energy,2333-8326,2333-8334,300,USD
Optica,,2334-2536,3108,USD
npj Schizophrenia,,2334-265X,3490,USD
Journal of Process Management. New Technologies,2334-735X,2334-7449,50,EUR
Journal of Measurements in Engineering,2335-2124,2424-4635,400,EUR
Ecologica Montenegrina,,2336-9744,150,EUR
Acta Veterinaria Indonesiana,2337-3202,2337-4373,150,USD
Historia: Jurnal Pendidikan Sejarah FKIP UM Metro,2337-4713,2442-8728,300000,IDR
Jurnal Promosi Program Studi Pendidikan Ekonomi,2337-4721,2442-9449,300000,IDR
Journal of Mathematical and Fundamental Sciences,2337-5760,2338-5510,150,USD
Journal of Engineering and Technological Sciences,2337-5779,2338-5502,150,USD
Journal of ICT Research and Applications,2337-5787,2338-5499,150,USD
Jurnal Pendidikan Fisika,2337-5973,2442-4838,300000,IDR
Jurnal Konseling dan Pendidikan,2337-6740,2337-6880,1500000,IDR
Simbiosis: Journal of Biological Sciences,2337-7224,,10,USD
Didaktika Religia,2337-7305,2549-631X,700,IDR
Al-Khwarizmi: Jurnal Pendidikan Matematika dan Ilmu Pengetahuan Alam,2337-7666,2541-6499,600000,IDR
Jurnal Hutan Tropis,2337-7771,2337-7992,200000,IDR
Jurnal Akuntabilitas Manajemen Pendidikan,2337-7895,2461-0550,200000,IDR
Jurnal Agro Industri Perkebunan,2337-9944,2548-9259,250000,IDR
Journal of Languages and Language Teaching,2338-0810,2621-1378,350000,IDR
Rekayasa Mesin,2338-1663,2477-6041,250000,IDR
Journal of Engineering and Management in Industrial System,2338-3925,2477-6025,200000,IDR
Prisma Sains: Jurnal Pengkajian Ilmu dan Pembelajaran Matematika dan IPA IKIP Mataram,2338-4530,2540-7899,500000,IDR
Jurnal Perspektif Pembiayaan dan Pembangunan Daerah,2338-4603,2355-8520,50,USD
Jurnal Prima Edukasi,2338-4743,,1000000,IDR
Ideas,2338-4778,2548-4192,500000,IDR
JKP (Jurnal Keperawatan Padjajaran),2338-5324,2442-7276,1000000,IDR
Indonesian Journal of Chemical Research,2338-5359,2614-2627,35,USD
Jurnal Akuntansi dan Perpajakan,2338-6010,,550000,IDR
Indonesian Journal of Obstetrics and Gynecology,2338-6401,2338-7335,100,USD
Resital: Jurnal Seni Pertunjukan,2338-6770,2085-9910,1000000,IDR
Society,2338-6932,2597-4874,100,USD
Jurnal Pendidikan Humaniora,2338-8110,2442-3890,50,USD
Jurnal Elkomika,2338-8323,2459-9638,1000000,IDR
Jurnal Pendidikan Sains,2338-9117,2442-3904,500000,IDR
Elementary School,2338-980X,2502-4264,350000,IDR
Journal of Degraded and Mining Lands Management,2339-076X,2502-2458,80,USD
Jurnal Pendidikan Sains Universitas Muhammadiyah Semarang,2339-0786,2502-1443,200000,IDR
Jurnal Sylva Lestari,2339-0913,2549-5747,1000000,IDR
Arbitrer,2339-1162,2550-1011,75,USD
Jurnal Pendidikan IPA Indonesia,2339-1286,2089-4392,2750000,IDR
Jurnal Pendidikan Edutama,2339-2258,2548-821X,300000,IDR
Journal of Arts and Social Sciences ,,2343-6891,105,USD
Network Intelligence Studies,,2344-1712,100,EUR
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Food Science and Technology,2344-2344,2344-5300,85,EUR
Expert Journal of Marketing,,2344-6773,150,EUR
Expert Journal of Business and Management,,2344-6781,150,EUR
Entrepreneurship and Sustainability Issues,,2345-0282,850,EUR
"Journal of Research on Trade, Management and Economic Development",2345-1424,2345-1483,50,EUR
Buletinul Științific al Universității de Stat „B.P. Hasdeu” din Cahul: Științe Sociale,2345-1858,2345-1890,15,EUR
روانشناسی بالینی و شخصیت,2345-2188,2345-4784,1000000,IRR
‫سیاست متعالیه‏,2345-2676,2645-5811,4000000,IRR
مطالعات زن و خانواده,2345-2692,2538-2004,2000000,IRR
مطالعات روان‌شناسی ورزشی,2345-2978,2538-1504,2000000,IRR
هواشناسی کشاورزی,2345-3419,2588-6002,3000000,IRR
Research Journal of Pharmacognosy,2345-4458,2345-5977,5000000,IRR
Emergency,,2345-4571,15000000,IRR
Journal of HerbMed Pharmacology,,2345-5004,200,USD
Education Strategies in Medical Sciences,,2345-5284,3000000,IRR
Applied Food Biotechnology,2345-5357,2423-4214,5000000,IRR
آموزش و ارزشیابی,2345-6299,2476-5627,3500000,IRR
Space Ontology International Journal,2345-6450,2423-7299,5000000,IRR
Journal of Dentistry,2345-6485,2345-6418,4500000,IRR
International Journal of Advances in Applied Mathematics and Mechanics,,2347-2529,60,USD
Journal of Research in Medical and Dental Science,2347-2545,2347-2367,1500,INR
Annals of Community Health,2347-5455,2347-5714,1500,INR
Asia-Pacific Journal of Oncology Nursing,2347-5625,2349-6673,1500,USD
Tropical Plant Research,,2349-1183,20,USD
International Journal of Physiotherapy,2349-5987,2348-8336,14500,INR
Mathematical Models in Engineering,2351-5279,2424-4627,200,EUR
Socialiniai Tyrimai,,2351-6712,75,EUR
Global Ecology and Conservation,,2351-9894,1820,USD
European Journal of Radiology Open,,2352-0477,1760,USD
Nuclear Materials and Energy,,2352-1791,1000,USD
Bone Reports,,2352-1872,1900,USD
Neurobiology of Stress,,2352-2895,1500,USD
Regenerative Therapy,,2352-3204,1100,USD
Data in Brief,,2352-3409,700,USD
Arthroplasty Today,,2352-3441,2500,USD
Cellular and Molecular Gastroenterology and Hepatology,,2352-345X,2500,USD
NFS Journal,,2352-3646,1250,USD
Journal of Nutrition & Intermediary Metabolism,,2352-3859,1600,USD
EBioMedicine,,2352-3964,3500,USD
Physics in Medicine,,2352-4510,1100,USD
Energy Reports,,2352-4847,2090,USD
JAAD Case Reports,,2352-5126,600,USD
Aquaculture Reports,2352-5134,,1590,USD
Practical Laboratory Medicine,,2352-5517,1850,USD
Gynecologic Oncology Reports,,2352-5789,650,USD
JPRAS Open,,2352-5878,1919,USD
"Journal of Robotics, Networking and Artificial Life (JRNAL)",,2352-6386,350,EUR
Trauma Case Reports,,2352-6440,750,USD
International Journal of Women's Dermatology,,2352-6475,1500,USD
SoftwareX,2352-7110,,500,USD
Development Engineering,,2352-7285,1500,USD
One Health,,2352-7714,1800,USD
SSM: Population Health,2352-8273,,1450,USD
Addictive Behaviors Reports,,2352-8532,2470,USD
"Alzheimer’s & Dementia: Diagnosis, Assessment & Disease Monitoring",,2352-8729,2200,USD
Alzheimer’s & Dementia: Translational Research & Clinical Interventions,,2352-8737,2200,USD
NursingPlus Open,,2352-9008,900,USD
International Journal of Cardiology: Heart & Vasculature,,2352-9067,2500,EUR
Informatics in Medicine Unlocked,,2352-9148,1400,USD
Clinical Nutrition Experimental,,2352-9393,1200,USD
OpenNano,,2352-9520,2000,USD
Curved and Layered Structures,,2353-7396,1000,EUR
Environmental Protection and Natural Resources,,2353-8589,60,PLN
Journal of Wetlands Environmental Management,2354-5844,2477-5223,2500000,IDR
ODONTO: Dental Journal,2354-5992,2460-4119,200000,IDR
